(101, 1, 9, 1, 1000.0, 50),
(101, 2, 5, 10, 600.0, 40),
(102, 1, 15, 10, 50.0, 0),
(103, 1, 2, 4, 2040.0, 10),
(103, 2, 9, 7, 7000.0, 50),
(103, 3, 5, 2, 120.0, 40),
(103, 4, 20, 9, 6363.0, 30),
(103, 5, 18, 9, 2997.0, 0),
(104, 1, 5, 3, 180.0, 40),
(104, 2, 10, 10, 50000.0, 0),
(104, 3, 7, 6, 900.0, 30),
(104, 4, 13, 7, 7000.0, 30),
(104, 5, 9, 9, 9000.0, 50),
(104, 6, 14, 5, 11500.0, 0),
(104, 7, 11, 9, 3879.0, 0),
(104, 8, 8, 8, 240000.0, 0),
(105, 1, 20, 5, 3535.0, 30),
(105, 2, 12, 6, 3600.0, 30),
(105, 3, 15, 6, 30.0, 0),
(105, 4, 11, 7, 3017.0, 0),
(105, 5, 4, 4, 2600.0, 0),
(106, 1, 16, 6, 1926.0, 20),
(106, 2, 3, 10, 4200.0, 20),
(106, 3, 10, 3, 15000.0, 0),
(107, 1, 15, 8, 40.0, 0),
(107, 2, 12, 5, 3000.0, 30),
(107, 3, 6, 4, 320000.0, 10),
(107, 4, 7, 10, 1500.0, 30),
(107, 5, 18, 6, 1998.0, 0),
(107, 6, 16, 8, 2568.0, 20),
(107, 7, 14, 10, 23000.0, 0),
(108, 1, 14, 5, 11500.0, 0),
(108, 2, 2, 9, 4590.0, 10),
(108, 3, 15, 2, 10.0, 0),
(109, 1, 15, 4, 20.0, 0),
(109, 2, 15, 4, 20.0, 0),
(109, 3, 18, 2, 666.0, 0),
(109, 4, 18, 3, 999.0, 0),
(110, 1, 19, 9, 1089.0, 0),
(110, 2, 1, 5, 50000.0, 0),
(110, 3, 5, 2, 120.0, 40),
(110, 4, 1, 6, 60000.0, 0),
(110, 5, 10, 6, 30000.0, 0),
(110, 6, 17, 2, 212.0, 20),
(110, 7, 1, 9, 90000.0, 0),
(111, 1, 14, 9, 20700.0, 0),
(111, 2, 19, 3, 363.0, 0),
(111, 3, 20, 8, 5656.0, 30),
(112, 1, 19, 3, 363.0, 0),
(112, 2, 14, 6, 13800.0, 0),
(112, 3, 11, 5, 2155.0, 0),
(112, 4, 18, 9, 2997.0, 0),
(113, 1, 1, 9, 90000.0, 0),
(113, 2, 15, 2, 10.0, 0),
(113, 3, 9, 1, 1000.0, 50),
(113, 4, 6, 7, 560000.0, 10),
(113, 5, 13, 7, 7000.0, 30),
(113, 6, 9, 9, 9000.0, 50),
(113, 7, 7, 10, 1500.0, 30),
(114, 1, 7, 8, 1200.0, 30),
(114, 2, 17, 10, 1060.0, 20),
(114, 3, 5, 1, 60.0, 40),
(114, 4, 20, 7, 4949.0, 30),
(114, 5, 10, 7, 35000.0, 0),
(115, 1, 11, 6, 2586.0, 0),
(115, 2, 16, 8, 2568.0, 20),
(116, 1, 20, 3, 2121.0, 30),
(116, 2, 4, 7, 4550.0, 0),
(116, 3, 7, 6, 900.0, 30),
(116, 4, 1, 1, 10000.0, 0),
(116, 5, 8, 9, 270000.0, 0),
(116, 6, 16, 9, 2889.0, 20),
(116, 7, 7, 5, 750.0, 30),
(116, 8, 2, 10, 5100.0, 10),
(116, 9, 12, 5, 3000.0, 30),
(116, 10, 3, 5, 2100.0, 20),
(117, 1, 8, 9, 270000.0, 0),
(117, 2, 18, 9, 2997.0, 0),
(117, 3, 18, 8, 2664.0, 0),
(117, 4, 12, 6, 3600.0, 30),
(117, 5, 13, 9, 9000.0, 30),
(118, 1, 12, 9, 5400.0, 30),
(118, 2, 1, 1, 10000.0, 0),
(118, 3, 18, 1, 333.0, 0),
(118, 4, 6, 7, 560000.0, 10),
(118, 5, 17, 5, 530.0, 20),
(118, 6, 14, 5, 11500.0, 0),
(118, 7, 20, 3, 2121.0, 30),
(119, 1, 17, 1, 106.0, 20),
(119, 2, 11, 4, 1724.0, 0),
(119, 3, 3, 5, 2100.0, 20),
(119, 4, 3, 7, 2940.0, 20),
(120, 1, 7, 8, 1200.0, 30),
(120, 2, 1, 4, 40000.0, 0),
(120, 3, 19, 10, 1210.0, 0),
(120, 4, 14, 9, 20700.0, 0),
(120, 5, 11, 6, 2586.0, 0),
(120, 6, 12, 1, 600.0, 30),
(120, 7, 19, 8, 968.0, 0),
(120, 8, 16, 3, 963.0, 20),
(120, 9, 5, 7, 420.0, 40),
(121, 1, 6, 7, 560000.0, 10),
(121, 2, 6, 2, 160000.0, 10),
(122, 1, 2, 8, 4080.0, 10),
(122, 2, 6, 4, 320000.0, 10),
(122, 3, 5, 5, 300.0, 40),
(122, 4, 19, 6, 726.0, 0),
(122, 5, 12, 8, 4800.0, 30),
(123, 1, 18, 1, 333.0, 0),
(123, 2, 7, 6, 900.0, 30),
(123, 3, 12, 10, 6000.0, 30),
(123, 4, 19, 1, 121.0, 0),
(123, 5, 3, 5, 2100.0, 20),
(124, 1, 15, 1, 5.0, 0),
(124, 2, 12, 1, 600.0, 30),
(125, 1, 3, 1, 420.0, 20),
(125, 2, 6, 3, 240000.0, 10),
(125, 3, 9, 7, 7000.0, 50),
(125, 4, 17, 5, 530.0, 20),
(126, 1, 16, 6, 1926.0, 20),
(126, 2, 10, 4, 20000.0, 0),
(126, 3, 16, 7, 2247.0, 20),
(126, 4, 18, 5, 1665.0, 0),
(126, 5, 9, 10, 10000.0, 50),
(126, 6, 12, 8, 4800.0, 30),
(127, 1, 12, 3, 1800.0, 30),
(127, 2, 3, 4, 1680.0, 20),
(128, 1, 17, 4, 424.0, 20),
(129, 1, 2, 5, 2550.0, 10),
(129, 2, 18, 6, 1998.0, 0),
(129, 3, 4, 1, 650.0, 0),
(129, 4, 15, 9, 45.0, 0),
(130, 1, 10, 1, 5000.0, 0),
(130, 2, 18, 8, 2664.0, 0),
